#Zotu ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Accession_description,Accession no.,evalue,per. Ident,taxid
Zotu1,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,1.06E-172,100,863246
Zotu173,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma sp. (cyclops-like),"Trypanosoma sp. TL.AQ.22 partial 18S rRNA gene, isolate TL.AQ.22",AJ620574.1,4.8E-156,98.142,260183
Zotu174,,,,,,,,,,,,
Zotu175,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,Bodo        ,Bodo sp. TGS2,"Bodo sp. TGS2 gene for 18S ribosomal RNA, partial sequence",AB585965.1,3.77E-126,100,882202
Zotu176,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,Rattus norvegicus 8 BAC CH230-3H18 (Children&apos;s Hospital Oakland Research Institute) complete sequence,AC094830.5,9.1E-102,98.605,10116
Zotu177,,,,,,,,,,,,
Zotu178,,,,,,,,,,,,
Zotu179,Eukaryota,Chordata   ,Mammalia      ,Lagomorpha     ,Leporidae         ,Oryctolagus ,Oryctolagus cuniculus,"Oryctolagus cuniculus clone LBNL1-125D4, complete sequence",AC144399.2,1.4E-45,90.541,9986
Zotu180,,,,,,,,"Uncultured kinetoplastid clone CB_35 18S ribosomal RNA gene, partial sequence",JN629704.1,8.68E-83,89.844,0
Zotu181,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma binneyi,"Trypanosoma binneyi isolate PB88 18S ribosomal RNA gene, partial sequence",KJ867144.1,1.57E-145,99.313,87096
Zotu182,,,,,,,,,,,,
Zotu183,,,,,,,,,,,,
Zotu184,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis breed flagellate small subunit ribosomal RNA gene, partial sequence",KY859412.1,3.77E-71,97.576,312471
Zotu185,,,,,,,,,,,,
Zotu186,Eukaryota,Euglenozoa ,Kinetoplastea ,,,,uncultured kinetoplastid,"Uncultured kinetoplastid clone CB_35 18S ribosomal RNA gene, partial sequence",JN629704.1,1.45E-95,92.578,204529
Zotu187,,,,,,,,,,,,
Zotu188,,,,,,,,"Uncultured kinetoplastid clone IP_62 18S ribosomal RNA gene, partial sequence",JN630012.1,4.2E-81,88.846,0
Zotu189,,,,,,,,,,,,
Zotu190,,,,,,,,,,,,
Zotu191,,,,,,,,,,,,
Zotu192,,,,,,,,"Homo sapiens chromosome 8, clone RP11-946L20, complete sequence",AC104946.4,1.34E-10,80.556,0
Zotu193,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis isolate TeToto4 18S ribosomal RNA gene, partial sequence",AY753619.1,3.69E-101,95.378,312471
Zotu194,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus rattus,"PREDICTED: Rattus rattus deuterosome assembly protein 1 (Deup1), transcript variant X2, mRNA",XM_032909887.1,2.04E-32,100,10117
Zotu195,,,,,,,,,,,,
Zotu196,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,Rattus norvegicus BAC CH230-92D18 (Children&apos;s Hospital Oakland Research Institute Rat (BN/SsNHsd/MCW) BAC library) complete sequence,AC120807.4,2.94E-76,94.764,10116
Zotu197,,,,,,,,,,,,
Zotu198,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma sp. (cyclops-like),"Trypanosoma sp. TL.AV.43 cl.101E partial 18S rRNA gene, isolate TL.AV.43 cl.101E",AJ620571.1,1.22E-136,97.917,5696
Zotu199,,,,,,,,"Uncultured kinetoplastid clone Kryos_IF_F1 18S ribosomal RNA gene, partial sequence",JN542571.1,1.51E-80,88.593,0
Zotu200,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,,Bodonidae sp. Jockey thermal pool,"Bodonidae sp. Jockey thermal pool 18S ribosomal RNA gene, partial sequence",AY490219.1,2.3E-103,94.8,266811
Zotu201,,,,,,,,,,,,
Zotu202,,,,,,,,,,,,
Zotu203,,,,,,,,,,,,
Zotu204,,,,,,,,,,,,
Zotu205,,,,,,,,"Uncultured kinetoplastid clone IP_39 18S ribosomal RNA gene, partial sequence",JN629986.1,2.46E-78,88.672,0
Zotu206,,,,,,,,"Rhynchobodo ATCC50359 small subunit ribosomal RNA gene, complete sequence",U67183.1,3.96E-81,89.683,0
Zotu207,,,,,,,,"Rhynchomonas nasuta strain HFCC99 18S ribosomal RNA gene, partial sequence",AY827855.1,1.15E-81,88.803,0
Zotu208,Eukaryota,Basidiomycota,Microbotryomycetes,Microbotryales ,Microbotryaceae   ,Microbotryum,Microbotryum stellariae,"Microbotryum stellariae isolate DM1165 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",MT644870.1,3.03E-75,100,288790
Zotu209,,,,,,,,"Uncultured microeukaryote clone 226Feb24_12D 18S ribosomal RNA gene, partial sequence",JN705498.1,6.66E-79,88.933,0
Zotu210,,,,,,,,"Perameles gunnii partial rhpn2 gene, exon 1",LM651359.1,1.86E-28,89.474,0
Zotu211,,,,,,,,,,,,
Zotu212,,,,,,,,"Uncultured kinetoplastid clone Kryos_IF_F1 18S ribosomal RNA gene, partial sequence",JN542571.1,3.25E-82,88.973,0
Zotu213,,,,,,,,,,,,
Zotu214,,,,,,,,,,,,
Zotu215,,,,,,,,"Uncultured microeukaryote clone 226Feb24_12D 18S ribosomal RNA gene, partial sequence",JN705498.1,3.08E-82,89.723,0
Zotu216,,,,,,,,,,,,
Zotu217,,,,,,,,,,,,
Zotu218,,,,,,,,"Uncultured microeukaryote clone 226Feb24_12D 18S ribosomal RNA gene, partial sequence",JN705498.1,3.1E-77,88.538,0
Zotu219,,,,,,,,,,,,
Zotu220,,,,,,,,"Uncultured kinetoplastid clone CB_35 18S ribosomal RNA gene, partial sequence",JN629704.1,1.88E-79,89.062,0
Zotu221,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma sp. (cyclops-like),"Trypanosoma sp. TL.AV.43 cl.101E partial 18S rRNA gene, isolate TL.AV.43 cl.101E",AJ620571.1,2.65E-133,97.222,5696
Zotu222,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma binneyi,"Trypanosoma binneyi isolate PB88 18S ribosomal RNA gene, partial sequence",KJ867144.1,7.3E-144,98.969,87096
Zotu223,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma binneyi,"Trypanosoma binneyi isolate PB09 18S ribosomal RNA gene, partial sequence",KJ867128.1,7.3E-144,98.969,87096
Zotu224,Eukaryota,Chordata   ,Mammalia      ,Lagomorpha     ,Leporidae         ,Oryctolagus ,Oryctolagus cuniculus,"Oryctolagus cuniculus, clone 0129C08, complete sequence",AC234897.5,2.55E-26,90.909,9986
Zotu225,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis breed flagellate small subunit ribosomal RNA gene, partial sequence",KY859412.1,1.76E-69,96.97,312471
Zotu226,,,,,,,,"Neobodo designis strain SCCAP BD54 18S ribosomal RNA gene, partial sequence",AY998650.1,1.25E-71,85.714,0
Zotu227,,,,,,,,,,,,
Zotu228,,,,,,,,,,,,
Zotu229,,,,,,,,,,,,
Zotu230,Eukaryota,Euglenozoa ,Kinetoplastea ,,,,uncultured kinetoplastid,"Uncultured kinetoplastid clone CB_35 18S ribosomal RNA gene, partial sequence",JN629704.1,1.86E-84,90.234,204529
Zotu231,,,,,,,,,,,,
Zotu232,,,,,,,,,,,,
Zotu233,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,Bodo        ,Bodo celer,"Bodo celer 18S ribosomal RNA gene, partial sequence",AY490221.1,2.38E-103,94.094,266813
Zotu234,Eukaryota,Chordata   ,Mammalia      ,Lagomorpha     ,Leporidae         ,Oryctolagus ,Oryctolagus cuniculus,"Oryctolagus cuniculus clone BAC LBAB_319H05, complete sequence",KJ810978.1,1.75E-15,93.651,9986
Zotu235,Eukaryota,Euglenozoa ,Kinetoplastea ,,,,uncultured kinetoplastid,"Uncultured kinetoplastid clone CB_35 18S ribosomal RNA gene, partial sequence",JN629704.1,3.11E-97,92.969,204529
Zotu236,,,,,,,,"Uncultured microeukaryote clone 226Feb24_12D 18S ribosomal RNA gene, partial sequence",JN705498.1,2.42E-68,86.508,0
Zotu237,,,,,,,,,,,,
Zotu238,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Mus         ,Mus musculus,"Mus musculus BAC clone RP23-451E1 from chromosome 12, complete sequence",AC124486.4,1.47E-18,92.958,10090
Zotu239,Eukaryota,Euglenozoa ,Kinetoplastea ,,,,uncultured kinetoplastid,"Uncultured kinetoplastid gene for 18S rRNA, partial sequence, clone: Lake Biwa hypolimnion 2",AB996691.1,2.41E-88,90.909,204529
Zotu240,,,,,,,,,,,,
Zotu241,Eukaryota,,,,,,uncultured eukaryote,"Uncultured eukaryote clone L5.9 18S ribosomal RNA gene, partial sequence",AY753975.1,1.45E-85,90.196,100272
Zotu242,,,,,,,,,,,,
Zotu243,,,,,,,,,,,,
Zotu244,,,,,,,,"Mus musculus targeted KO-first, conditional ready, lacZ-tagged mutant allele Lca5:tm1a(EUCOMM)Wtsi; transgenic",JN958158.1,6.65E-27,86.667,0
Zotu245,,,,,,,,,,,,
Zotu246,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Cricetidae        ,Onychomys   ,Onychomys torridus,"Onychomys torridus genome assembly, chromosome: 12",LR877199.1,0.000000237,100,38674
Zotu247,,,,,,,,"Onychomys torridus genome assembly, chromosome: 12",LR877199.1,6.3E-64,87.013,0
Zotu248,,,,,,,,,,,,
Zotu249,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,2.7E-68,97.468,863246
Zotu250,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,5.81E-70,98.101,863246
Zotu251,,,,,,,,,,,,
Zotu252,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis strain HFCC9 18S ribosomal RNA gene, partial sequence",DQ207579.1,8.35E-113,96.471,312471
Zotu253,,,,,,,,,,,,
Zotu254,,,,,,,,,,,,
Zotu255,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis strain SCCAP BD54 18S ribosomal RNA gene, partial sequence",AY998650.1,5.24E-65,96.774,312471
Zotu256,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,Bodo        ,Bodo rostratus,"Bodo rostratus 18S ribosomal RNA gene, partial sequence",AY425017.1,2.14E-113,98.734,259042
Zotu257,,,,,,,,,,,,
Zotu258,,,,,,,,,,,,
Zotu259,,,,,,,,"Wallaby DNA sequence from clone MEKBa-169B10, complete sequence",CU302406.7,3.62E-35,89.231,0
Zotu260,,,,,,,,,,,,
Zotu261,,,,,,,,"Oryctolagus cuniculus clone BAC LBAB-866H07, complete sequence",KJ810984.1,7.4E-74,88.066,0
Zotu262,,,,,,,,"Bodonidae sp. isolate Cx11 18S ribosomal RNA gene, partial sequence",MF000704.1,4.24E-81,88.679,0
Zotu263,,,,,,,,,,,,
Zotu264,,,,,,,,"Neobodo designis strain SCCAP BD54 18S ribosomal RNA gene, partial sequence",AY998650.1,5.81E-70,85.357,0
Zotu265,,,,,,,,,,,,
Zotu266,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Mus         ,Mus musculus,"Mus musculus BAC clone RP24-235C16 from chromosome 8, complete sequence",AC131115.3,2.23E-08,100,10090
Zotu267,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Bodo designis 18S ribosomal RNA gene, partial sequence",AY490235.1,2.8E-112,98.312,312471
Zotu268,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis isolate TeToto4 18S ribosomal RNA gene, partial sequence",AY753619.1,7.99E-98,94.538,312471
Zotu269,,,,,,,,,,,,
Zotu270,,,,,,,,"Oryctolagus cuniculus, clone 0863G04, complete sequence",AC234997.5,2.96E-83,89.723,0
Zotu271,,,,,,,,,,,,
Zotu272,,,,,,,,Rattus norvegicus 2 BAC CH230-328F5 (Children&apos;s Hospital Oakland Research Institute) complete sequence,AC113901.7,3.87E-97,88.103,0
Zotu273,,,,,,,,,,,,
Zotu274,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,Rattus norvegicus Rf BAC CH230-173F6 (Children&apos;s Hospital Oakland Research Institute Rat (BN/SsNHsd/MCW) BAC library) complete sequence,AC096321.10,6.76E-83,95.074,10116
Zotu275,,,,,,,,,,,,
Zotu276,Eukaryota,,,,,,uncultured eukaryote,"Uncultured eukaryote clone L8.1 18S ribosomal RNA gene, partial sequence",AY753976.1,3.92E-91,91.935,100272
Zotu277,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,Rattus norvegicus BAC CH230-231J3 () complete sequence,AC125647.6,5.35E-84,95.122,10116
Zotu278,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,Bodo        ,Bodo saltans,"Bodo saltans 18S ribosomal RNA gene, partial sequence",AY490234.1,4.9E-125,99.602,75058
Zotu279,,,,,,,,,,,,
Zotu280,,,,,,,,Oryctolagus cuniculus beta-globin-like gene cluster locus control region,U63091.1,1.07E-21,84.426,0
Zotu281,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Bodo designis 18S ribosomal RNA gene, partial sequence",AY490235.1,6.01E-114,98.734,312471
Zotu282,,,,,,,,,,,,
Zotu283,,,,,,,,,,,,
Zotu284,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,Bodo        ,Bodo celer,"Bodo celer 18S ribosomal RNA gene, partial sequence",AY490221.1,5.04E-115,96.85,266813
Zotu285,,,,,,,,,,,,
Zotu286,,,,,,,,,,,,
Zotu287,,,,,,,,,,,,
Zotu288,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo curvifilus,"Bodo curvifilus 18S ribosomal RNA gene, partial sequence",AY425015.1,5.64E-94,95.89,351716
Zotu289,,,,,,,,"Uncultured soil eukaryote clone a665 small subunit ribosomal RNA gene, partial sequence",MK946257.1,1.29E-81,86.897,0
Zotu290,,,,,,,,,,,,
Zotu291,,,,,,,,,,,,
Zotu292,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,Rattus norvegicus Y Chr BAC RNECO-104M15 (Amplicon Express Rat SHR-Akr (EcoR1 Digest) BAC library) complete sequence,AC246509.4,3.57E-96,98.537,10116
Zotu293,Eukaryota,Chordata   ,Mammalia      ,Lagomorpha     ,Leporidae         ,Oryctolagus ,Oryctolagus cuniculus,"Oryctolagus cuniculus, clone 0129C08, complete sequence",AC234897.5,1.82E-53,96.296,9986
Zotu294,,,,,,,,"Acropsopilio chilensis voucher CASENT-9027889 18S ribosomal RNA gene, partial sequence",KF963303.1,1.15E-44,88.679,0
Zotu295,,,,,,,,,,,,
Zotu296,,,,,,,,,,,,
Zotu297,,,,,,,,,,,,
Zotu298,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Cricetidae        ,Onychomys   ,Onychomys torridus,"Onychomys torridus genome assembly, chromosome: 11",LR877198.1,0.000000283,91.837,38674
Zotu299,,,,,,,,,,,,
Zotu300,,,,,,,,"Uncultured kinetoplastid clone Kryos_IF_F1 18S ribosomal RNA gene, partial sequence",JN542571.1,3.25E-82,88.973,0
Zotu301,,,,,,,,,,,,
Zotu302,,,,,,,,"Bodonidae sp. isolate Cx11 18S ribosomal RNA gene, partial sequence",MF000704.1,1.97E-79,88.302,0
Zotu303,,,,,,,,,,,,
Zotu304,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,"Rattus norvegicus CD52 molecule (Cd52), mRNA",NM_053983.2,6.16E-16,100,10116
Zotu305,,,,,,,,,,,,
Zotu306,,,,,,,,,,,,
Zotu307,,,,,,,,,,,,
Zotu308,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,Bodo        ,Bodo saltans,"Bodo saltans 18S ribosomal RNA gene, partial sequence",AY490234.1,1.06E-121,98.805,75058
Zotu309,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,Rattus norvegicus CH230-12L9 (Children&apos;s Hospital Oakland Research Institute Rat (BN/SsNHsd/MCW) BAC library) complete sequence,AC132498.4,2.22E-58,90.96,10116
Zotu310,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,Rattus norvegicus Y Chr BAC RNECO-104M15 (Amplicon Express Rat SHR-Akr (EcoR1 Digest) BAC library) complete sequence,AC246509.4,1.66E-94,98.049,10116
Zotu311,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Bodo designis 18S ribosomal RNA gene, partial sequence",AY490235.1,2.8E-112,98.312,312471
Zotu312,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma sp. (cyclops-like),"Trypanosoma sp. TL.AV.43 cl.101E partial 18S rRNA gene, isolate TL.AV.43 cl.101E",AJ620571.1,1.22E-136,97.917,5696
Zotu313,,,,,,,,"Neobodo designis strain SCCAP BD54 18S ribosomal RNA gene, partial sequence",AY998650.1,4.51E-71,85.409,0
Zotu314,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,2.33E-154,96.716,863246
Zotu315,,,,,,,,,,,,
Zotu316,,,,,,,,"Acomys russatus genome assembly, chromosome: 18",LR877229.1,3.78E-26,80.899,0
Zotu317,,,,,,,,,,,,
Zotu318,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,"PREDICTED: Rattus norvegicus uncharacterized LOC102549701 (LOC102549701), ncRNA",XR_600676.2,1.54E-104,99.083,10116
Zotu319,,,,,,,,,,,,
Zotu320,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,Bodo        ,Bodo saltans,"Bodo saltans 18S ribosomal RNA gene, partial sequence",AY490234.1,1.06E-121,98.805,75058
Zotu321,,,,,,,,"Neobodo designis strain SCCAP BD54 18S ribosomal RNA gene, partial sequence",AY998650.1,9.69E-73,85.765,0
Zotu322,,,,,,,,"Acomys russatus genome assembly, chromosome: 10",LR877221.1,5.2E-15,75.936,0
Zotu323,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Mus         ,Mus musculus,"Mus musculus targeted non-conditional, lacZ-tagged mutant allele Tmem151b:tm1e(KOMP)Wtsi; transgenic",JN962818.1,5.63E-53,93.793,10090
Zotu324,,,,,,,,"Perameles gunnii partial rhpn2 gene, exon 1",LM651359.1,8.83E-27,88.785,0
Zotu325,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,5.02E-156,97.015,863246
Zotu326,,,,,,,,Rattus norvegicus BAC CH230-139F7 () complete sequence,AC114140.5,5.96E-59,86.607,0
Zotu327,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Mus         ,Mus musculus,"Mus musculus chromosome 7, clone RP23-292M1, complete sequence",AC102143.10,8.44E-83,93.519,10090
Zotu328,,,,,,,,,,,,
Zotu329,,,,,,,,,,,,
Zotu330,,,,,,,,,,,,
Zotu331,,,,,,,,,,,,
Zotu332,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,"Rattus norvegicus strain Brown Norway clone RP31-464J4, complete sequence",AC087775.2,1.57E-91,96.226,10116
Zotu333,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,5.02E-156,97.015,863246
Zotu334,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma sp. (cyclops-like),"Trypanosoma sp. voucher LNP24 small subunit ribosomal RNA gene, partial sequence",MT898517.1,3.37E-147,99.656,5696
Zotu335,,,,,,,,"Uncultured microeukaryote clone 226Feb24_12D 18S ribosomal RNA gene, partial sequence",JN705498.1,6.71E-74,87.747,0
Zotu336,,,,,,,,"Uncultured marine eukaryote clone AB_+67_KIN 18S ribosomal RNA gene, partial sequence",GU218703.1,2.01E-69,86.09,0
Zotu337,,,,,,,,,,,,
Zotu338,,,,,,,,,,,,
Zotu339,,,,,,,,"Neobodo designis strain SCCAP BD54 18S ribosomal RNA gene, partial sequence",AY998650.1,2.09E-69,85.106,0
Zotu340,,,,,,,,"Uncultured kinetoplastid clone GB_A04 18S ribosomal RNA gene, partial sequence",JN629783.1,2.67E-83,88.087,0
Zotu341,,,,,,,,,,,,
Zotu342,,,,,,,,,,,,
Zotu343,,,,,,,,,,,,
Zotu344,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,4.98E-161,97.904,863246
Zotu345,,,,,,,,,,,,
Zotu346,,,,,,,,,,,,
Zotu347,,,,,,,,,,,,
Zotu348,Eukaryota,,,,,,uncultured soil eukaryote,"Uncultured soil eukaryote clone a665 small subunit ribosomal RNA gene, partial sequence",MK946257.1,7.23E-69,96.386,342097
Zotu349,,,,,,,,,,,,
Zotu350,,,,,,,,,,,,
Zotu351,,,,,,,,Rattus norvegicus 20 BAC CH230-118G13 (Children&apos;s Hospital Oakland Research Institute) complete sequence,AC132050.4,1.66E-65,85.714,0
Zotu352,,,,,,,,,,,,
Zotu353,,,,,,,,"Perameles gunnii partial rhpn2 gene, exon 1",LM651359.1,1.9E-28,89.815,0
Zotu354,,,,,,,,,,,,
Zotu355,,,,,,,,"Neobodo designis strain SCCAP BD54 18S ribosomal RNA gene, partial sequence",AY998650.1,9.65E-73,85.816,0
Zotu356,,,,,,,,,,,,
Zotu357,,,,,,,,"Uncultured kinetoplastid clone IP_39 18S ribosomal RNA gene, partial sequence",JN629986.1,2.45E-83,89.844,0
Zotu358,Eukaryota,Chordata   ,Mammalia      ,Lagomorpha     ,Leporidae         ,Oryctolagus ,Oryctolagus cuniculus,"Oryctolagus cuniculus, clone 0863G04, complete sequence",AC234997.5,1.86E-68,91.414,9986
Zotu359,Eukaryota,,,,,,uncultured eukaryote,"Uncultured eukaryote clone L5.9 18S ribosomal RNA gene, partial sequence",AY753975.1,2.43E-93,91.797,100272
Zotu360,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,5.34E-146,100,863246
Zotu361,,,,,,,,,,,,
Zotu362,,,,,,,,,,,,
Zotu363,,,,,,,,,,,,
Zotu364,,,,,,,,,,,,
Zotu365,,,,,,,,,,,,
Zotu366,,,,,,,,,,,,
Zotu367,,,,,,,,"Uncultured microeukaryote clone 226Feb24_12D 18S ribosomal RNA gene, partial sequence",JN705498.1,6.76E-69,86.561,0
Zotu368,,,,,,,,"Mus musculus BAC clone RP23-127P22 from chromosome 19, complete sequence",AC132454.3,1.3E-34,83.237,0
Zotu369,,,,,,,,,,,,
Zotu370,,,,,,,,,,,,
Zotu371,,,,,,,,"Uncultured eukaryote clone TKR07M.129 18S ribosomal RNA gene, partial sequence",GU290113.1,5.33E-85,89.655,0
Zotu372,,,,,,,,"Neobodo designis strain SCCAP BD54 18S ribosomal RNA gene, partial sequence",AY998650.1,9.69E-73,85.765,0
Zotu373,,,,,,,,,,,,
